generation    1.00000e+00
         sol00z       sol00en             R            tt     screenpos      nemirrms       mgorank  mgoviolations 
   3.27056e-01  1.97879e-01  4.82194e-03  1.64519e+00  1.27379e+00  1.21446e-06  2.80000e+01  0.00000e+00 
   4.16978e-01  4.68683e-01  1.68012e-03  3.21827e-01  7.55501e-01  4.23157e-07  1.10000e+01  0.00000e+00 
   3.30649e-01  6.33973e-01  1.68053e-03  1.79608e+00  7.37840e-01  4.23259e-07  1.20000e+01  0.00000e+00 
   4.12323e-01  4.03112e-01  4.87594e-03  9.84462e-01  9.95785e-01  1.22806e-06  2.90000e+01  0.00000e+00 
   3.79396e-01  2.90523e-01  5.28818e-03  2.93878e-01  1.38933e+00  1.33188e-06  3.20000e+01  0.00000e+00 
   3.93229e-01  4.43261e-01  1.53671e-03  1.36443e-01  1.05850e+00  3.87174e-07  1.00000e+01  0.00000e+00 
   3.99286e-01  3.15227e-01  1.78531e-03  7.48473e-02  1.34081e+00  4.60015e-07  1.60000e+01  0.00000e+00 
   3.22821e-01  1.37596e-01  5.70830e-03  3.20033e-01  1.08778e+00  1.43770e-06  3.70000e+01  0.00000e+00 
   3.93470e-01  5.42768e-01  1.73737e-03  5.95133e-01  8.93017e-01  4.37575e-07  1.30000e+01  0.00000e+00 
   3.60142e-01  1.77874e-01  1.48394e-03  9.32313e-01  8.52780e-01  3.73747e-07  7.00000e+00  0.00000e+00 
   4.40251e-01  5.10667e-01  4.72162e-03  1.35459e+00  9.58064e-01  1.18919e-06  2.70000e+01  0.00000e+00 
   3.43317e-01  5.65460e-01  3.60288e-03  6.06763e-01  8.32826e-01  9.07423e-07  2.20000e+01  0.00000e+00 
   3.79012e-01  5.61948e-01  4.92270e-03  1.60692e+00  8.98320e-01  1.23983e-06  3.00000e+01  0.00000e+00 
   3.79741e-01  1.23568e-01  5.36412e-03  1.67867e+00  1.35157e+00  1.35101e-06  3.40000e+01  0.00000e+00 
   4.01321e-01  3.89770e-01  5.88684e-03  5.62821e-01  1.19846e+00  1.48266e-06  3.80000e+01  0.00000e+00 
   4.01090e-01  4.82584e-01  4.29597e-03  3.48628e-01  1.12637e+00  1.08199e-06  2.50000e+01  0.00000e+00 
   4.03179e-01  1.99584e-01  5.39323e-03  1.58653e+00  1.28044e+00  1.35834e-06  3.50000e+01  0.00000e+00 
   3.81916e-01  5.31561e-01  1.53671e-03  8.59241e-01  1.11478e+00  3.87038e-07  9.00000e+00  0.00000e+00 
   3.15476e-01  1.75645e-01  6.04624e-03  1.37365e+00  1.38933e+00  1.52281e-06  3.90000e+01  0.00000e+00 
   3.27383e-01  4.73094e-01  6.82199e-04  7.56891e-01  1.18719e+00  1.71821e-07  2.00000e+00  0.00000e+00 
   4.32159e-01  4.84648e-01  5.29705e-03  1.12288e+00  8.96742e-01  1.33412e-06  3.30000e+01  0.00000e+00 
   3.11735e-01  1.41944e-01  2.61493e-03  8.41328e-01  1.27377e+00  6.58598e-07  2.00000e+01  0.00000e+00 
   3.47530e-01  2.97266e-01  2.93085e-03  1.52007e-01  1.14315e+00  7.38166e-07  2.10000e+01  0.00000e+00 
   4.30581e-01  1.43397e-01  2.49107e-04  1.66306e+00  1.11572e+00  6.49474e-08  0.00000e+00  0.00000e+00 
   3.60142e-01  1.77874e-01  1.48394e-03  1.79809e+00  8.52780e-01  3.73747e-07  8.00000e+00  0.00000e+00 
   3.02445e-01  2.45732e-01  1.81933e-03  1.45143e+00  8.09675e-01  4.58218e-07  1.50000e+01  0.00000e+00 
   3.78899e-01  1.51634e-01  2.46812e-03  1.20054e+00  1.32316e+00  6.21623e-07  1.80000e+01  0.00000e+00 
   3.85998e-01  5.53349e-01  8.12878e-04  3.00897e-01  1.40000e+00  2.00489e-07  3.00000e+00  0.00000e+00 
   3.71610e-01  4.77323e-01  4.50446e-03  9.33854e-01  1.36656e+00  1.13450e-06  2.60000e+01  0.00000e+00 
   3.95919e-01  5.55841e-01  1.30307e-03  2.60126e-01  1.06415e+00  3.21511e-07  6.00000e+00  0.00000e+00 
   3.11179e-01  6.70062e-01  8.19845e-04  9.48383e-01  8.23347e-01  2.06488e-07  4.00000e+00  0.00000e+00 
   4.17900e-01  2.84475e-01  5.47500e-03  4.22470e-01  8.31273e-01  1.37894e-06  3.60000e+01  0.00000e+00 
   3.41435e-01  4.33866e-01  5.11472e-03  3.21901e-01  1.33476e+00  1.28820e-06  3.10000e+01  0.00000e+00 
   3.52334e-01  1.38503e-01  4.36272e-04  8.34709e-01  7.44167e-01  1.09215e-07  1.00000e+00  0.00000e+00 
                                                                                                  
generation    3.00000e+00
         sol00z       sol00en             R            tt     screenpos      nemirrms       mgorank  mgoviolations 
