generation    1.00000e+00
         sol00z       sol00en             R            tt      nemirrms       mgorank  mgoviolations 
   3.68048e-01  5.49274e-01  7.37487e-03  6.06461e-01  6.97524e-06  2.10000e+01  0.00000e+00 
   3.87673e-01  2.46648e-01  4.37151e-03  1.33126e+00  5.69544e-06  1.50000e+01  0.00000e+00 
   3.39165e-01  3.08819e-01  7.72292e-03  1.59640e-01  7.23638e-06  2.30000e+01  0.00000e+00 
   3.10486e-01  2.22793e-01  7.15278e-03  1.48444e+00  4.73941e-06  8.00000e+00  0.00000e+00 
   3.42006e-01  4.27664e-01  9.47342e-03  2.48241e-01  9.96001e-06  3.50000e+01  0.00000e+00 
   4.24380e-01  2.98202e-01  5.06071e-03  1.61340e+00  4.21328e-06  6.00000e+00  0.00000e+00 
   3.94422e-01  2.37482e-01  9.30558e-03  6.04517e-01  1.23442e-05  3.90000e+01  0.00000e+00 
   4.33342e-01  1.46197e-01  8.84736e-03  4.84077e-01  1.01824e-05  3.60000e+01  0.00000e+00 
   3.53864e-01  4.31491e-01  8.21487e-03  8.42008e-01  6.97788e-06  2.20000e+01  0.00000e+00 
   3.02445e-01  2.45732e-01  4.23508e-03  1.45731e+00  5.39673e-06  1.20000e+01  0.00000e+00 
   3.15476e-01  1.75645e-01  7.45900e-03  1.38083e+00  5.48324e-06  1.30000e+01  0.00000e+00 
   3.98596e-01  6.15206e-01  6.95604e-03  1.66695e+00  7.78080e-06  2.70000e+01  0.00000e+00 
   3.79012e-01  5.61948e-01  6.60206e-03  1.61018e+00  4.93613e-06  1.10000e+01  0.00000e+00 
   3.14022e-01  1.80941e-01  7.68189e-03  1.86906e-01  8.18284e-06  2.90000e+01  0.00000e+00 
   3.74037e-01  6.83665e-01  5.63265e-03  1.39988e+00  6.76107e-06  1.90000e+01  0.00000e+00 
   3.95357e-01  5.30378e-01  4.27442e-03  1.11220e+00  3.86534e-06  3.00000e+00  0.00000e+00 
   4.03179e-01  1.99584e-01  6.96094e-03  1.59013e+00  4.42512e-06  7.00000e+00  0.00000e+00 
   4.36747e-01  2.18531e-01  6.01700e-03  1.39440e+00  4.83378e-06  1.00000e+01  0.00000e+00 
   4.49839e-01  2.30954e-01  7.61639e-03  1.51845e+00  5.54818e-06  1.40000e+01  0.00000e+00 
   3.40000e-01  4.23856e-01  6.37686e-03  1.38044e+00  2.86392e-06  2.00000e+00  0.00000e+00 
   4.12466e-01  3.21198e-01  5.64744e-03  4.56458e-01  7.34055e-06  2.40000e+01  0.00000e+00 
   3.67055e-01  2.35664e-01  4.68780e-03  5.33411e-01  8.09781e-06  2.80000e+01  0.00000e+00 
   3.41666e-01  4.32382e-01  7.29657e-03  1.15052e+00  4.74956e-06  9.00000e+00  0.00000e+00 
   3.91896e-01  2.77619e-01  8.73797e-03  9.67503e-01  8.45686e-06  3.20000e+01  0.00000e+00 
   3.42644e-01  5.43121e-01  8.75981e-03  6.69585e-01  1.06794e-05  3.70000e+01  0.00000e+00 
   3.09626e-01  1.12014e-01  7.11932e-03  1.60418e-01  8.37785e-06  3.10000e+01  0.00000e+00 
   3.23502e-01  3.40567e-01  4.16811e-03  2.40415e-01  1.17905e-05  3.80000e+01  0.00000e+00 
                                                                                      
generation    3.00000e+00
         sol00z       sol00en             R            tt      nemirrms       mgorank  mgoviolations 
   3.28067e-01  3.81403e-01  6.09903e-03  7.50480e-01  5.36076e-06  1.80000e+01  0.00000e+00 
   3.98144e-01  1.99584e-01  6.13399e-03  8.00390e-01  6.57255e-06  2.90000e+01  0.00000e+00 
   3.68764e-01  5.49740e-01  3.11368e-03  1.36860e+00  3.81642e-06  5.00000e+00  0.00000e+00 
   3.07924e-01  2.22793e-01  6.79469e-03  7.50287e-01  6.81961e-06  3.10000e+01  0.00000e+00 
   4.03243e-01  4.15929e-01  5.68154e-03  1.31494e+00  3.12028e-06  4.00000e+00  0.00000e+00 
   3.59335e-01  2.60516e-01  6.62803e-03  8.02364e-01  6.39188e-06  2.80000e+01  0.00000e+00 
   3.53864e-01  2.19019e-01  7.83369e-03  7.74736e-01  6.95152e-06  3.30000e+01  0.00000e+00 
   3.54871e-01  3.77640e-01  3.91863e-03  3.78016e-01  7.33847e-06  3.70000e+01  0.00000e+00 
   3.89606e-01  4.94894e-01  7.19004e-03  1.01527e+00  4.78604e-06  1.40000e+01  0.00000e+00 
   3.60193e-01  5.41820e-01  6.41524e-03  4.84077e-01  6.07329e-06  2.30000e+01  0.00000e+00 
   3.98213e-01  1.50560e-01  6.64571e-03  9.62092e-01  6.32524e-06  2.60000e+01  0.00000e+00 
   4.00032e-01  3.98355e-01  4.47571e-03  1.50252e+00  3.85940e-06  6.00000e+00  0.00000e+00 
   3.10463e-01  5.58047e-01  4.15924e-03  8.06466e-01  5.25218e-06  1.70000e+01  0.00000e+00 
   3.97095e-01  5.13256e-01  4.90794e-03  1.16471e+00  3.09169e-06  3.00000e+00  0.00000e+00 
   3.95471e-01  3.94803e-01  8.45717e-03  1.18741e-01  6.87139e-06  3.20000e+01  0.00000e+00 
   3.31646e-01  2.56824e-01  7.45900e-03  8.40238e-01  6.28593e-06  2.50000e+01  0.00000e+00 
   3.59335e-01  4.63120e-01  5.62466e-03  9.66461e-01  2.65625e-06  1.00000e+00  0.00000e+00 
   3.80418e-01  4.00897e-01  6.96094e-03  2.63792e-01  6.38274e-06  2.70000e+01  0.00000e+00 
   3.83467e-01  3.49901e-01  4.52646e-03  1.63691e+00  4.05073e-06  9.00000e+00  0.00000e+00 
   3.49317e-01  2.38857e-01  3.66745e-03  1.15788e+00  7.39336e-06  3.90000e+01  0.00000e+00 
   4.12171e-01  4.77346e-01  3.31879e-03  1.35866e+00  2.59434e-06  0.00000e+00  0.00000e+00 
   3.18821e-01  5.76082e-01  4.47692e-03  1.35387e+00  3.89388e-06  8.00000e+00  0.00000e+00 
   4.03108e-01  1.59784e-01  7.77727e-03  1.37526e+00  6.17137e-06  2.40000e+01  0.00000e+00 
