generation    1.00000e+00
         sol00z       sol00en             R            tt      nemirrms       mgorank  mgoviolations 
   3.53864e-01  4.31491e-01  7.03727e-03  8.25585e-01  3.93901e-06  7.00000e+00  0.00000e+00 
   4.12171e-01  4.77346e-01  6.17967e-04  1.35109e+00  1.64996e-05  2.30000e+01  1.00000e+00 
   3.79012e-01  5.61948e-01  4.92270e-03  1.60692e+00  2.53203e-06  2.00000e+00  0.00000e+00 
   3.15476e-01  1.75645e-01  6.04624e-03  1.37365e+00  2.93767e-06  5.00000e+00  0.00000e+00 
   3.24470e-01  3.35014e-01  1.09737e-02  1.47906e+00  2.74177e-05  3.50000e+01  1.00000e+00 
   3.87673e-01  2.46648e-01  1.99820e-03  1.32322e+00  6.11551e-06  1.20000e+01  0.00000e+00 
   3.26432e-01  2.44037e-01  9.61402e-03  1.32412e+00  2.15928e-05  2.90000e+01  1.00000e+00 
   4.49999e-01  2.22597e-01  1.07015e-02  2.43334e-01  1.68299e-05  2.40000e+01  1.00000e+00 
   4.03179e-01  1.99584e-01  5.39323e-03  1.58653e+00  2.65633e-06  3.00000e+00  0.00000e+00 
   4.36747e-01  2.18531e-01  4.15563e-03  1.38745e+00  3.18755e-06  6.00000e+00  0.00000e+00 
   3.40000e-01  4.23856e-01  4.62744e-03  1.37324e+00  1.68831e-06  0.00000e+00  0.00000e+00 
   4.49670e-01  1.32435e-01  1.04724e-02  1.48745e-01  1.76129e-05  2.50000e+01  1.00000e+00 
   3.00624e-01  6.53841e-01  7.20793e-03  3.41063e-01  1.44379e-05  2.10000e+01  0.00000e+00 
   3.59765e-01  5.88860e-01  8.27378e-03  1.64153e+00  1.10803e-05  1.70000e+01  0.00000e+00 
   4.49839e-01  2.30954e-01  6.25260e-03  1.51362e+00  2.89321e-06  4.00000e+00  0.00000e+00 
   3.85998e-01  5.53349e-01  8.12878e-04  3.00897e-01  2.94888e-04  3.90000e+01  1.00000e+00 
   3.14022e-01  1.80941e-01  6.33848e-03  1.59253e-01  5.72534e-06  1.00000e+01  0.00000e+00 
   4.47713e-01  6.61002e-01  8.27645e-03  7.02075e-01  1.23866e-05  1.80000e+01  0.00000e+00 
   3.11179e-01  6.70062e-01  8.19845e-04  9.48383e-01  3.11110e-05  3.70000e+01  1.00000e+00 
   3.22149e-01  6.28637e-01  7.76475e-03  7.88877e-01  1.49673e-05  2.20000e+01  0.00000e+00 
   3.41666e-01  4.32382e-01  5.83329e-03  1.13939e+00  2.25257e-06  1.00000e+00  0.00000e+00 
   3.02445e-01  2.45732e-01  1.81933e-03  1.45143e+00  6.03925e-06  1.10000e+01  0.00000e+00 
   4.12466e-01  3.21198e-01  3.67109e-03  4.33426e-01  5.45616e-06  9.00000e+00  0.00000e+00 
   3.72374e-01  2.29495e-01  1.14130e-02  1.65783e+00  2.71414e-05  3.40000e+01  1.00000e+00 
   3.92939e-01  2.68636e-01  9.47482e-03  5.67275e-01  1.32815e-05  2.00000e+01  0.00000e+00 
   3.67055e-01  2.35664e-01  2.41289e-03  5.11698e-01  7.50371e-06  1.50000e+01  0.00000e+00 
   3.42497e-01  3.11475e-01  9.73115e-03  1.65587e+00  2.26739e-05  3.00000e+01  1.00000e+00 
   4.26028e-01  3.36630e-01  9.44057e-03  1.44122e+00  1.85677e-05  2.60000e+01  1.00000e+00 
   3.95357e-01  5.30378e-01  1.87091e-03  1.10040e+00  6.53305e-06  1.30000e+01  0.00000e+00 
   3.91896e-01  2.77619e-01  7.72312e-03  9.53231e-01  5.12571e-06  8.00000e+00  0.00000e+00 
   3.52554e-01  5.12002e-01  1.14863e-02  1.06778e+00  2.54868e-05  3.10000e+01  1.00000e+00 
   3.35742e-01  6.82380e-01  1.08461e-02  1.53464e+00  2.00549e-05  2.80000e+01  1.00000e+00 
   3.54718e-01  4.08041e-01  1.14363e-02  1.65083e+00  2.60962e-05  3.20000e+01  1.00000e+00 
   3.65646e-01  6.59101e-01  1.11836e-02  1.30330e+00  2.00429e-05  2.70000e+01  1.00000e+00 
   3.42644e-01  5.43121e-01  7.75175e-03  6.50207e-01  8.07893e-06  1.60000e+01  0.00000e+00 
   3.28832e-01  4.97936e-01  1.07047e-02  6.41029e-01  2.85291e-05  3.60000e+01  1.00000e+00 
   3.10463e-01  6.69596e-01  6.40675e-03  1.73179e-01  2.61511e-05  3.30000e+01  1.00000e+00 
   3.76880e-01  5.00634e-01  6.47296e-03  8.99190e-02  1.24561e-05  1.90000e+01  0.00000e+00 
   3.23502e-01  3.40567e-01  1.73153e-03  2.13680e-01  6.28456e-05  3.80000e+01  1.00000e+00 
   3.09626e-01  1.12014e-01  5.60088e-03  1.32311e-01  6.88408e-06  1.40000e+01  0.00000e+00 
                                                                                      
generation    2.00000e+00
         sol00z       sol00en             R            tt      nemirrms       mgorank  mgoviolations 
   3.73859e-01  4.96663e-01  4.64984e-03  1.00943e+00  1.83320e-06  1.00000e+00  0.00000e+00 
   3.87649e-01  1.79801e-01  1.15607e-03  1.55319e+00  8.59560e-06  3.80000e+01  0.00000e+00 
   4.27500e-01  4.29544e-01  4.78883e-03  9.64740e-01  2.43324e-06  3.00000e+00  0.00000e+00 
   4.02889e-01  5.83266e-01  5.98624e-03  9.17127e-01  4.57131e-06  1.80000e+01  0.00000e+00 
   4.03813e-01  1.18102e-01  7.18956e-03  1.41844e-01  6.19315e-06  2.60000e+01  0.00000e+00 
   4.00032e-01  3.98355e-01  2.13482e-03  1.49742e+00  4.41178e-06  1.70000e+01  0.00000e+00 
   3.66611e-01  5.53570e-01  7.55345e-03  1.02089e+00  8.57385e-06  3.70000e+01  0.00000e+00 
   3.04080e-01  5.93118e-01  6.01784e-03  5.94725e-01  6.52815e-06  2.70000e+01  0.00000e+00 
   3.26071e-01  1.09807e-01  2.84109e-03  5.34828e-01  6.65834e-06  3.00000e+01  0.00000e+00 
   3.45644e-01  6.95337e-01  7.00826e-03  1.58215e+00  6.70789e-06  3.20000e+01  0.00000e+00 
   3.10486e-01  2.22793e-01  5.64476e-03  1.47903e+00  2.66812e-06  6.00000e+00  0.00000e+00 
   3.80411e-01  1.56087e-01  4.11098e-03  6.91315e-01  4.91851e-06  1.90000e+01  0.00000e+00 
   4.03108e-01  1.59784e-01  6.46353e-03  1.36798e+00  3.21405e-06  1.00000e+01  0.00000e+00 
   3.42006e-01  4.27664e-01  8.68737e-03  2.21639e-01  6.11639e-06  2.50000e+01  0.00000e+00 
   3.72564e-01  3.12637e-01  7.33804e-03  9.61471e-02  6.62838e-06  2.90000e+01  0.00000e+00 
   4.24380e-01  2.98202e-01  2.90182e-03  1.61020e+00  3.52018e-06  1.20000e+01  0.00000e+00 
   3.83467e-01  3.49901e-01  2.20136e-03  1.63411e+00  4.22001e-06  1.50000e+01  0.00000e+00 
   3.98485e-01  6.80443e-01  7.74561e-03  1.37233e+00  8.95262e-06  3.90000e+01  0.00000e+00 
   3.94422e-01  2.37482e-01  8.46732e-03  5.84024e-01  7.74075e-06  3.50000e+01  0.00000e+00 
   3.18821e-01  5.76082e-01  2.13640e-03  1.34623e+00  3.29585e-06  1.10000e+01  0.00000e+00 
   4.33342e-01  1.46197e-01  7.86654e-03  4.61519e-01  6.67505e-06  3.10000e+01  0.00000e+00 
   3.98596e-01  6.15206e-01  5.38681e-03  1.66467e+00  3.64304e-06  1.30000e+01  0.00000e+00 
   3.74037e-01  6.83665e-01  3.65170e-03  1.39302e+00  4.34311e-06  1.60000e+01  0.00000e+00 
   3.53864e-01  4.31491e-01  7.03727e-03  8.25585e-01  3.93901e-06  1.40000e+01  0.00000e+00 
   3.79012e-01  5.61948e-01  4.92270e-03  1.60692e+00  2.53203e-06  4.00000e+00  0.00000e+00 
   3.15476e-01  1.75645e-01  6.04624e-03  1.37365e+00  2.93767e-06  8.00000e+00  0.00000e+00 
   3.87673e-01  2.46648e-01  1.99820e-03  1.32322e+00  6.11551e-06  2.40000e+01  0.00000e+00 
   4.03179e-01  1.99584e-01  5.39323e-03  1.58653e+00  2.65633e-06  5.00000e+00  0.00000e+00 
   4.36747e-01  2.18531e-01  4.15563e-03  1.38745e+00  3.18755e-06  9.00000e+00  0.00000e+00 
   3.40000e-01  4.23856e-01  4.62744e-03  1.37324e+00  1.68831e-06  0.00000e+00  0.00000e+00 
   4.49839e-01  2.30954e-01  6.25260e-03  1.51362e+00  2.89321e-06  7.00000e+00  0.00000e+00 
   3.14022e-01  1.80941e-01  6.33848e-03  1.59253e-01  5.72534e-06  2.20000e+01  0.00000e+00 
   3.41666e-01  4.32382e-01  5.83329e-03  1.13939e+00  2.25257e-06  2.00000e+00  0.00000e+00 
   3.02445e-01  2.45732e-01  1.81933e-03  1.45143e+00  6.03925e-06  2.30000e+01  0.00000e+00 
   4.12466e-01  3.21198e-01  3.67109e-03  4.33426e-01  5.45616e-06  2.10000e+01  0.00000e+00 
   3.67055e-01  2.35664e-01  2.41289e-03  5.11698e-01  7.50371e-06  3.40000e+01  0.00000e+00 
   3.95357e-01  5.30378e-01  1.87091e-03  1.10040e+00  6.53305e-06  2.80000e+01  0.00000e+00 
   3.91896e-01  2.77619e-01  7.72312e-03  9.53231e-01  5.12571e-06  2.00000e+01  0.00000e+00 
   3.42644e-01  5.43121e-01  7.75175e-03  6.50207e-01  8.07893e-06  3.60000e+01  0.00000e+00 
   3.09626e-01  1.12014e-01  5.60088e-03  1.32311e-01  6.88408e-06  3.30000e+01  0.00000e+00 
                                                                                      
generation    3.00000e+00
         sol00z       sol00en             R            tt      nemirrms       mgorank  mgoviolations 
   3.01445e-01  2.40617e-01  6.04624e-03  1.37365e+00  2.75283e-06  1.00000e+01  0.00000e+00 
   4.28708e-01  5.02271e-01  4.67730e-03  1.49653e+00  1.89054e-06  2.00000e+00  0.00000e+00 
   3.66611e-01  3.41154e-01  6.94033e-03  7.54185e-01  3.45174e-06  2.00000e+01  0.00000e+00 
   3.37346e-01  4.42746e-01  3.97190e-03  1.23161e+00  1.91000e-06  3.00000e+00  0.00000e+00 
   3.28573e-01  4.77186e-01  2.68761e-03  1.18507e+00  2.16291e-06  4.00000e+00  0.00000e+00 
   4.06405e-01  1.46018e-01  3.97074e-03  9.02864e-01  4.47202e-06  3.30000e+01  0.00000e+00 
   3.59949e-01  2.72215e-01  6.55632e-03  9.08243e-01  3.46609e-06  2.10000e+01  0.00000e+00 
   3.36635e-01  4.54850e-01  6.71062e-03  1.71777e+00  4.64139e-06  3.70000e+01  0.00000e+00 
   4.20437e-01  5.37579e-01  2.28445e-03  1.43111e+00  3.52782e-06  2.30000e+01  0.00000e+00 
   3.25936e-01  5.61948e-01  1.14635e-03  1.70859e+00  4.41778e-06  3.20000e+01  0.00000e+00 
   3.66211e-01  4.23416e-01  4.34014e-03  8.92247e-01  2.81475e-06  1.10000e+01  0.00000e+00 
   3.29270e-01  4.50137e-01  4.57586e-03  5.61514e-01  3.17407e-06  1.40000e+01  0.00000e+00 
   3.19480e-01  4.47440e-01  7.07735e-03  1.02278e+00  4.15902e-06  2.70000e+01  0.00000e+00 
   3.56765e-01  3.60134e-01  1.65865e-03  1.79044e+00  4.90322e-06  3.90000e+01  0.00000e+00 
   3.58877e-01  4.30205e-01  6.42302e-03  5.11698e-01  3.19442e-06  1.60000e+01  0.00000e+00 
   3.62144e-01  1.93001e-01  4.97179e-03  6.27843e-01  4.54178e-06  3.50000e+01  0.00000e+00 
   3.10507e-01  3.06723e-01  5.24278e-03  9.59536e-01  3.31626e-06  1.90000e+01  0.00000e+00 
   3.80790e-01  3.98817e-01  5.09769e-03  4.53885e-01  4.17751e-06  2.80000e+01  0.00000e+00 
   3.33548e-01  4.90679e-01  6.22609e-03  1.74921e+00  4.02909e-06  2.60000e+01  0.00000e+00 
   4.04508e-01  2.74763e-01  7.14741e-03  6.50207e-01  4.52239e-06  3.40000e+01  0.00000e+00 
   3.71111e-01  1.49394e-01  6.33848e-03  5.67658e-01  4.85113e-06  3.80000e+01  0.00000e+00 
   3.73859e-01  4.96663e-01  4.64984e-03  1.00943e+00  1.83320e-06  1.00000e+00  0.00000e+00 
   4.27500e-01  4.29544e-01  4.78883e-03  9.64740e-01  2.43324e-06  6.00000e+00  0.00000e+00 
   4.02889e-01  5.83266e-01  5.98624e-03  9.17127e-01  4.57131e-06  3.60000e+01  0.00000e+00 
   4.00032e-01  3.98355e-01  2.13482e-03  1.49742e+00  4.41178e-06  3.10000e+01  0.00000e+00 
   3.10486e-01  2.22793e-01  5.64476e-03  1.47903e+00  2.66812e-06  9.00000e+00  0.00000e+00 
   4.03108e-01  1.59784e-01  6.46353e-03  1.36798e+00  3.21405e-06  1.70000e+01  0.00000e+00 
   4.24380e-01  2.98202e-01  2.90182e-03  1.61020e+00  3.52018e-06  2.20000e+01  0.00000e+00 
   3.83467e-01  3.49901e-01  2.20136e-03  1.63411e+00  4.22001e-06  2.90000e+01  0.00000e+00 
   3.18821e-01  5.76082e-01  2.13640e-03  1.34623e+00  3.29585e-06  1.80000e+01  0.00000e+00 
   3.98596e-01  6.15206e-01  5.38681e-03  1.66467e+00  3.64304e-06  2.40000e+01  0.00000e+00 
   3.74037e-01  6.83665e-01  3.65170e-03  1.39302e+00  4.34311e-06  3.00000e+01  0.00000e+00 
   3.53864e-01  4.31491e-01  7.03727e-03  8.25585e-01  3.93901e-06  2.50000e+01  0.00000e+00 
   3.79012e-01  5.61948e-01  4.92270e-03  1.60692e+00  2.53203e-06  7.00000e+00  0.00000e+00 
   3.15476e-01  1.75645e-01  6.04624e-03  1.37365e+00  2.93767e-06  1.30000e+01  0.00000e+00 
   4.03179e-01  1.99584e-01  5.39323e-03  1.58653e+00  2.65633e-06  8.00000e+00  0.00000e+00 
   4.36747e-01  2.18531e-01  4.15563e-03  1.38745e+00  3.18755e-06  1.50000e+01  0.00000e+00 
   3.40000e-01  4.23856e-01  4.62744e-03  1.37324e+00  1.68831e-06  0.00000e+00  0.00000e+00 
   4.49839e-01  2.30954e-01  6.25260e-03  1.51362e+00  2.89321e-06  1.20000e+01  0.00000e+00 
